Point ID,arc_length,Density,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Residual_Density,Residual_Energy,Residual_Momentum_0,Residual_Momentum_1,Residual_Momentum_2,Residual_Momentum_Magnitude,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,vtkValidPointMask,Y_Plus
580,5.8,2.09778e-05,4.3463,0,1.79153e-05,0.0333096,0.000237845,-1.01E-06,0,0.000237847,5.8,0,0,5.8,1.73798,-0.140793,-5.66E-17,-1.63E-11,-2.89E-13,-3.07E-14,0,2.90869e-13,0,0,0,0,288.613,11.3379,-0.0480278,0,11.338,1,0
581,5.81,2.09778e-05,4.34631,0,1.79153e-05,0.0334441,0.000238802,-1.02E-06,0,0.000238804,5.81,0,0,5.81,1.73798,-0.140837,-5.71E-17,-1.63E-11,-2.87E-13,-3.12E-14,0,2.88216e-13,0,0,0,0,288.612,11.3835,-0.0485937,0,11.3837,1,0
582,5.82,2.09778e-05,4.34632,0,1.79153e-05,0.0335359,0.000239459,-1.03E-06,0,0.000239461,5.82,0,0,5.82,1.73798,-0.140722,-5.70E-17,-1.63E-11,-2.86E-13,-3.10E-14,0,2.88064e-13,0,0,0,0,288.612,11.4149,-0.0489805,0,11.415,1,0
583,5.83,2.09778e-05,4.34633,0,1.79153e-05,0.0336043,0.000239954,-1.03E-06,0,0.000239956,5.83,0,0,5.83,1.73798,-0.140522,-5.66E-17,-1.62E-11,-2.88E-13,-3.03E-14,0,2.89276e-13,0,0,0,0,288.612,11.4384,-0.04927,0,11.4385,1,0
584,5.84,2.09779e-05,4.34634,0,1.79153e-05,0.0336727,0.000240448,-1.04E-06,0,0.00024045,5.84,0,0,5.84,1.73798,-0.140321,-5.63E-17,-1.62E-11,-2.89E-13,-2.97E-14,0,2.90489e-13,0,0,0,0,288.612,11.462,-0.0495594,0,11.4621,1,0
585,5.85,2.09779e-05,4.34635,0,1.79153e-05,0.0337412,0.000240942,-1.05E-06,0,0.000240945,5.85,0,0,5.85,1.73799,-0.140121,-5.59E-17,-1.61E-11,-2.90E-13,-2.90E-14,0,2.91704e-13,0,0,0,0,288.612,11.4855,-0.0498489,0,11.4856,1,0
586,5.86,2.0978e-05,4.34637,0,1.79153e-05,0.0338096,0.000241437,-1.05E-06,0,0.000241439,5.86,0,0,5.86,1.73799,-0.139921,-5.55E-17,-1.61E-11,-2.92E-13,-2.84E-14,0,2.92921e-13,0,0,0,0,288.612,11.5091,-0.0501383,0,11.5092,1,0
587,5.87,2.0978e-05,4.34638,0,1.79153e-05,0.033878,0.000241931,-1.06E-06,0,0.000241934,5.87,0,0,5.87,1.73799,-0.13972,-5.52E-17,-1.60E-11,-2.93E-13,-2.78E-14,0,2.94141e-13,0,0,0,0,288.612,11.5326,-0.0504278,0,11.5327,1,0
588,5.88,2.0978e-05,4.34639,0,1.79152e-05,0.0339465,0.000242426,-1.06E-06,0,0.000242428,5.88,0,0,5.88,1.73799,-0.13952,-5.48E-17,-1.60E-11,-2.94E-13,-2.71E-14,0,2.95362e-13,0,0,0,0,288.612,11.5562,-0.0507172,0,11.5563,1,0
589,5.89,2.09781e-05,4.3464,0,1.79152e-05,0.0340149,0.00024292,-1.07E-06,0,0.000242922,5.89,0,0,5.89,1.738,-0.139319,-5.44E-17,-1.59E-11,-2.95E-13,-2.65E-14,0,2.96585e-13,0,0,0,0,288.612,11.5797,-0.0510067,0,11.5798,1,0
590,5.9,2.09781e-05,4.34641,0,1.79152e-05,0.0340833,0.000243415,-1.08E-06,0,0.000243417,5.9,0,0,5.9,1.738,-0.139119,-5.41E-17,-1.58E-11,-2.97E-13,-2.59E-14,0,2.9781e-13,0,0,0,0,288.612,11.6033,-0.0512961,0,11.6034,1,0
591,5.91,2.09781e-05,4.34643,0,1.79152e-05,0.0341518,0.000243909,-1.08E-06,0,0.000243911,5.91,0,0,5.91,1.738,-0.138918,-5.37E-17,-1.58E-11,-2.98E-13,-2.52E-14,0,2.99037e-13,0,0,0,0,288.611,11.6268,-0.0515856,0,11.6269,1,0
592,5.92,2.09782e-05,4.34644,0,1.79152e-05,0.0342202,0.000244403,-1.09E-06,0,0.000244406,5.92,0,0,5.92,1.738,-0.138718,-5.33E-17,-1.57E-11,-2.99E-13,-2.46E-14,0,3.00265e-13,0,0,0,0,288.611,11.6503,-0.051875,0,11.6505,1,0
593,5.93,2.09782e-05,4.34645,0,1.79152e-05,0.0342886,0.000244898,-1.09E-06,0,0.0002449,5.93,0,0,5.93,1.73801,-0.138517,-5.30E-17,-1.57E-11,-3.01E-13,-2.40E-14,0,3.01496e-13,0,0,0,0,288.611,11.6739,-0.0521645,0,11.674,1,0
594,5.94,2.09782e-05,4.34646,0,1.79152e-05,0.0343571,0.000245392,-1.10E-06,0,0.000245395,5.94,0,0,5.94,1.73801,-0.138317,-5.26E-17,-1.56E-11,-3.02E-13,-2.33E-14,0,3.02728e-13,0,0,0,0,288.611,11.6974,-0.0524539,0,11.6976,1,0
595,5.95,2.09783e-05,4.34647,0,1.79152e-05,0.0344255,0.000245887,-1.11E-06,0,0.000245889,5.95,0,0,5.95,1.73801,-0.138116,-5.22E-17,-1.56E-11,-3.03E-13,-2.27E-14,0,3.03962e-13,0,0,0,0,288.611,11.721,-0.0527434,0,11.7211,1,0
596,5.96,2.09783e-05,4.34649,0,1.79152e-05,0.0344939,0.000246381,-1.11E-06,0,0.000246384,5.96,0,0,5.96,1.73801,-0.137916,-5.19E-17,-1.55E-11,-3.04E-13,-2.20E-14,0,3.05198e-13,0,0,0,0,288.611,11.7445,-0.0530328,0,11.7447,1,0
597,5.97,2.09784e-05,4.3465,0,1.79152e-05,0.0345624,0.000246876,-1.12E-06,0,0.000246878,5.97,0,0,5.97,1.73802,-0.137715,-5.15E-17,-1.55E-11,-3.06E-13,-2.14E-14,0,3.06436e-13,0,0,0,0,288.611,11.7681,-0.0533223,0,11.7682,1,0
598,5.98,2.09784e-05,4.34651,0,1.79152e-05,0.0346308,0.00024737,-1.12E-06,0,0.000247373,5.98,0,0,5.98,1.73802,-0.137515,-5.11E-17,-1.54E-11,-3.07E-13,-2.08E-14,0,3.07675e-13,0,0,0,0,288.611,11.7916,-0.0536117,0,11.7918,1,0
599,5.99,2.09784e-05,4.34652,0,1.79152e-05,0.0347082,0.000247927,-1.13E-06,0,0.00024793,5.99,0,0,5.99,1.73802,-0.137276,-5.07E-17,-1.53E-11,-3.08E-13,-2.01E-14,0,3.08954e-13,0,0,0,0,288.611,11.8182,-0.0537416,0,11.8183,1,0
600,6,2.09785e-05,4.34655,0,1.79152e-05,0.0348436,0.000248891,-1.11E-06,0,0.000248894,6,0,0,6,1.73803,-0.136784,-5.03E-17,-1.53E-11,-3.10E-13,-1.93E-14,0,3.1048e-13,0,0,0,0,288.61,11.8641,-0.0528373,0,11.8642,1,0
601,6.01,2.09786e-05,4.34658,0,1.79152e-05,0.034979,0.000249855,-1.09E-06,0,0.000249857,6.01,0,0,6.01,1.73803,-0.136292,-4.98E-17,-1.52E-11,-3.11E-13,-1.85E-14,0,3.12008e-13,0,0,0,0,288.61,11.9099,-0.0519329,0,11.9101,1,0
602,6.02,2.09787e-05,4.3466,0,1.79152e-05,0.0351144,0.000250819,-1.07E-06,0,0.000250821,6.02,0,0,6.02,1.73804,-0.1358,-4.94E-17,-1.51E-11,-3.13E-13,-1.78E-14,0,3.13539e-13,0,0,0,0,288.61,11.9558,-0.0510286,0,11.9559,1,0
