"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
168, 7.938926220000000e-01, 4.045085014000000e-01, 2.088708119217660e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.325579247963531e+00
169, 8.064535260000000e-01, 3.950774969000000e-01, 2.088896474382662e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.325988652789029e+00
170, 8.187119961000000e-01, 3.852565886000000e-01, 2.089078680285877e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.326383750771617e+00
171, 8.306558728000000e-01, 3.750554920000000e-01, 2.089254666371451e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.326764434413429e+00
172, 8.422734737000001e-01, 3.644843102000000e-01, 2.089424452375085e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.327130805809135e+00
173, 8.535534143000000e-01, 3.535534144000000e-01, 2.089588217196946e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.327483315682273e+00
174, 8.644843102000001e-01, 3.422735930000000e-01, 2.089746080389008e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.327822306729609e+00
175, 8.750556111000000e-01, 3.306559027000000e-01, 2.089898294935446e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.328148409425425e+00
176, 8.852565885000000e-01, 3.187119962000000e-01, 2.090045026395899e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.328462079790592e+00
177, 8.950775266000000e-01, 3.064534963000000e-01, 2.090186541072189e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.328763985990182e+00
178, 9.045084715000000e-01, 2.938925923000000e-01, 2.090323096311760e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.329054776578878e+00
179, 9.135403036999999e-01, 2.810417117000000e-01, 2.090454916545379e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.329335028017742e+00
180, 9.221640229000000e-01, 2.679134012000000e-01, 2.090582226867014e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.329605311079984e+00
181, 9.303709865000001e-01, 2.545207144000000e-01, 2.090705190455319e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.329866058727039e+00
182, 9.381533265000001e-01, 2.408767940000000e-01, 2.090823979815915e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.330117711928884e+00
183, 9.455031753000001e-01, 2.269952000000000e-01, 2.090938616863929e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.330360386502035e+00
184, 9.524134994000000e-01, 2.128895969000000e-01, 2.091048978338808e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.330593883365283e+00
185, 9.588773251000000e-01, 1.985739023000000e-01, 2.091154817891486e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.330817733724679e+00
186, 9.648882151000000e-01, 1.840623022000000e-01, 2.091255849473118e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.331031372190346e+00
187, 9.704403877000000e-01, 1.693689973000000e-01, 2.091351704299675e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.331234048624811e+00
188, 9.755281806000000e-01, 1.545085014000000e-01, 2.091441924133161e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.331424815294056e+00
189, 9.801468253000000e-01, 1.394955964000000e-01, 2.091525959658186e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.331602525011593e+00
190, 9.842916131000000e-01, 1.243449004000000e-01, 2.091603248511613e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.331765994609401e+00
191, 9.879583716000000e-01, 1.090715976000000e-01, 2.091673232100353e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.331914041823316e+00
192, 9.911435843000000e-01, 9.369066370000000e-02, 2.091735348172575e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.332045472517333e+00
193, 9.938442111000000e-01, 7.821723080000000e-02, 2.091789052671653e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.332159128278399e+00
194, 9.960572720000000e-01, 6.266661740000000e-02, 2.091833792720663e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.332253832691977e+00
195, 9.977809787000000e-01, 4.705416050000000e-02, 2.091869097667360e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.332328582039201e+00
196, 9.990134239000000e-01, 3.139526030000000e-02, 2.091894579924841e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.332382548870995e+00
197, 9.997532964000000e-01, 1.570538070000000e-02, 2.091909962149324e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.332415139875567e+00
198, 1.000000000000000e+00, 1.000000000000000e-10, 2.091915090773444e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.332426025091219e+00
